instance;n;m;Meilleure solution connue;Borne inférieure;Solution de départ;Meilleure solution trouvée;Ecart relatif;Moyenne des solutions de départ;Meilleure solution de départ;Pire solution de départ;best_parameters
tai01;20;5;1278;;;1286;0.0063;1506.23;1286;1712;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.1}
tai02;20;5;1359;;;1365;0.004415011037527594;1541.54;1365;1751;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
tai11;20;10;1582;;;1639;0.03603034134007586;2022.29;1680;2281;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
tai12;20;10;1659;;;1719;0.03616636528028933;2075.38;1729;2252;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
tai21;20;20;2297;;;2375;0.03395733565520244;2744.47;2410;3026;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
tai22;20;20;2099;;;2150;0.0243;2559.61;2150;2796;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.1}
tai31;50;5;2724;;;2724;0.0;3206.09;2733;3686;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
tai32;50;5;2834;;;2843;0.003175723359209598;3349.66;2843;3849;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
tai41;50;10;2991;;;3135;0.048144433299899696;3850.91;3135;4309;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
tai42;50;10;2867;;;3032;0.05755144750610394;3712.34;3032;4141;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.1}
tai51;50;20;3874;3771;;4082;0.053691275167785234;4827.39;4082;5179;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
tai52;50;20;3704;3668;;3921;0.059;4637.16;3921;4999;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
jeu1;4;5;54;;;54;0.0;56.5;54;62;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
jeu2;8;5;704;;;704;0.0;797.4;705;875;{'random_prop': 0.7, 'deter_prop': 0.3, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.25, 'cross_2_points_prob': 0.25, 'cross_position_prob': 0.5, 'gentrification': False, 'swap_prob': 0.2, 'insert_prob': 0.2, 'entropy_threshold': 10.0, 'preserved_prop': 0.2, 'time_limit': 0.5}
