instance;n;m;Meilleure solution connue;Borne inférieure;Solution de départ;Meilleure solution trouvée;Ecart relatif;Moyenne des solutions de départ;Meilleure solution de départ;Pire solution de départ;best_parameters
tai01;20;5;1278;;;1278;0.0;1513.42;1286;1655;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai02;20;5;1359;;;1359;0.0;1541.35;1365;1738;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai11;20;10;1582;;;1583;0.06;2010.76;1680;2169;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai12;20;10;1659;;;1660;0.06;2066.56;1729;2254;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai21;20;20;2297;;;2297;0.0;2763.02;2410;3020;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai22;20;20;2099;;;2105;0.29;2581.13;2150;2799;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai31;50;5;2724;;;2724;0.0;3200.97;2733;3630;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai32;50;5;2834;;;2838;0.14;3331.19;2843;3650;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai41;50;10;2991;;;3055;2.14;3820.47;3135;4275;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai42;50;10;2867;;;2930;2.2;3673.92;3032;4076;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai51;50;20;3874;3771;;3962;2.27;4842.38;4082;5281;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
tai52;50;20;3704;3668;;3803;2.67;4672.25;3921;5038;{'random_prop': 0.9, 'deter_prop': 0.1, 'best_deter': True, 'pop_init_size': 100, 'cross_1_point_prob': 0.2, 'cross_2_points_prob': 0.4, 'cross_position_prob': 0.4, 'gentrification': False, 'mut_swap_prob': 0.3, 'mut_insert_prob': 0.3, 'preserved_prop': 0.1, 'use_ls': True, 'ls_swap_prob': 0.5, 'ls_insert_prob': 0.5, 'ls_max_iterations': 2, 'max_neighbors_nb': 400, 'ls_subset_size': 10, 'time_limit': 10.0}
jeu1;4;5;54;;;;;;;;
jeu2;8;5;704;;;;;;;;
